Provinsi,Kabupaten,Kecamatan,Perkiraan Panen Bulan September,Perkiraan Panen Bulan Oktober,Alsintan September,Alsintan Oktober,Bera,Penggenangan,Tanam (1-15 Hst),Vegetatif 1 (16-30 Hst),Vegetatif 2 (31-40 Hst),Max Vegetatif (41-54 Hst),Generatif 1 (55-71 Hst),Generatif 2 (72-110 Hst),Panen,Standing Crop,Luas Baku Sawah (Ha)
Sulawesi Tenggara,Muna,Parigi,50.0,116.0,1.0,2.0,137,37,53.0,37.0,23.0,40.0,83.0,65.0,71,301,551.0
Sulawesi Tenggara,Muna,Pasi Kolaga,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
Sulawesi Tenggara,Muna,Pasir Putih,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
Sulawesi Tenggara,Muna,Tongkuno,1.0,7.0,1.0,1.0,37,5,6.0,6.0,6.0,6.0,3.0,1.0,11,28,82.0
Sulawesi Tenggara,Muna,Tongkuno Selatan,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
Sulawesi Tenggara,Muna,Towea,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
Sulawesi Tenggara,Muna,Wakorumba Selatan,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
Sulawesi Tenggara,Muna,Watopute,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
Sulawesi Tenggara,Muna Barat,,45.0,210.0,7.0,7.0,344,69,89.0,113.0,124.0,153.0,113.0,59.0,146,651,1225.0
Sulawesi Tenggara,Muna Barat,Barangka,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
Sulawesi Tenggara,Muna Barat,Kusambi,1.0,2.0,1.0,1.0,1,0,0.0,0.0,0.0,0.0,2.0,1.0,0,3,4.0
Sulawesi Tenggara,Muna Barat,Lawa,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
Sulawesi Tenggara,Muna Barat,Maginti,14.0,33.0,1.0,1.0,71,17,19.0,20.0,12.0,12.0,23.0,18.0,35,104,227.0
Sulawesi Tenggara,Muna Barat,Napano Kusambi,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
Sulawesi Tenggara,Muna Barat,Sawerigadi,8.0,64.0,1.0,1.0,85,12,17.0,23.0,37.0,67.0,24.0,10.0,30,178,309.0
