Kode Provinsi,Nama Provinsi,Kode Kab,Nama Kabupaten,Luas Panen_Jan-24,Luas Panen_Feb-24,Luas Panen_Mar-24,Luas Panen_Apr-24,Luas Panen_Mei-24,Luas Panen_Jun-24,Luas Panen_Jul-24,Luas Panen_Ags-24,Luas Panen_Sep-24,Luas Panen_Okt-24,Luas Panen_Nov-24,Luas Panen_Des-24,Luas Panen_Jan-Des 2024,Luas Panen_Jan-25,Luas Panen_Feb-25,Luas Panen_Mar-25,Luas Panen_Apr-25,Luas Panen_Mei-25,Luas Panen_Jun-25,Luas Panen_Jul-25,Luas Panen_Ags-25,Luas Panen_Sep-25,Luas Panen_Okt-25,Luas Panen_Nov-25,Produksi Padi_Jan-24,Produksi Padi_Feb-24,Produksi Padi_Mar-24,Produksi Padi_Apr-24,Produksi Padi_Mei-24,Produksi Padi_Jun-24,Produksi Padi_Jul-24,Produksi Padi_Ags-24,Produksi Padi_Sep-24,Produksi Padi_Okt-24,Produksi Padi_Nov-24,Produksi Padi_Des-24,Produksi Padi_Jan-Des 2024,Produksi Padi_Jan-25,Produksi Padi_Feb-25,Produksi Padi_Mar-25,Produksi Padi_Apr-25,Produksi Padi_Mei-25,Produksi Padi_Jun-25,Produksi Padi_Jul-25,Produksi Padi_Ags-25,Produksi Padi_Sep-25,Produksi Padi_Okt-25,Produksi Padi_Nov-25,Produksi Beras_Jan-24,Produksi Beras_Feb-24,Produksi Beras_Mar-24,Produksi Beras_Apr-24,Produksi Beras_Mei-24,Produksi Beras_Jun-24,Produksi Beras_Jul-24,Produksi Beras_Ags-24,Produksi Beras_Sep-24,Produksi Beras_Okt-24,Produksi Beras_Nov-24,Produksi Beras_Des-24,Produksi Beras_Jan-Des 2024,Produksi Beras_Jan-25,Produksi Beras_Feb-25,Produksi Beras_Mar-25,Produksi Beras_Apr-25,Produksi Beras_Mei-25,Produksi Beras_Jun-25,Produksi Beras_Jul-25,Produksi Beras_Ags-25,Produksi Beras_Sep-25,Produksi Beras_Okt-25,Produksi Beras_Nov-25
73,SULAWESI SELATAN,7307,SULAWESI SELATAN - Sinjai,0,0,0,4.520,2.461,992,72,7.544,2.754,163,1.177,615,20.298,0,0,0,5.116,2.729,524,130,8.227,2.368,1.206,782,0,0,0,22.424,11.027,4.444,325,33.806,13.437,795,5.741,3.002,95.001,0,0,0,27.061,12.841,2.467,612,38.706,11.247,5.725,3.715,0,0,0,12.868,6.328,2.550,186,19.399,7.711,456,3.295,1.723,54.515,0,0,0,15.529,7.369,1.415,351,22.211,6.454,3.285,2.132
73,SULAWESI SELATAN,7308,SULAWESI SELATAN - Maros,0,0,7.588,7.984,5.193,1.805,5.746,8.163,938,306,1.053,1.580,40.355,14,356,7.159,6.748,6.264,317,5.820,7.063,1.913,835,1.048,0,0,35.284,37.246,25.268,8.843,28.221,40.045,4.579,1.495,5.147,7.718,193.847,58,1.459,29.335,27.727,32.419,1.643,30.483,36.924,9.925,4.340,5.462,0,0,20.247,21.373,14.500,5.075,16.194,22.979,2.628,858,2.953,4.429,111.236,33,837,16.834,15.911,18.603,943,17.492,21.189,5.696,2.491,3.134
73,SULAWESI SELATAN,7309,SULAWESI SELATAN - Pangkajene Dan Kepulauan,0,0,1.686,12.942,541,0,718,10.176,811,0,0,170,27.044,5,0,3.029,10.576,410,264,1.969,10.073,598,167,299,0,0,6.117,46.948,2.597,0,3.449,48.891,3.286,0,0,689,111.980,24,0,14.069,49.118,1.832,1.180,8.793,44.970,2.487,692,1.245,0,0,3.510,26.941,1.490,0,1.979,28.056,1.886,0,0,396,64.258,14,0,8.074,28.186,1.051,677,5.045,25.805,1.427,397,714
73,SULAWESI SELATAN,7310,SULAWESI SELATAN - Barru,0,0,148,10.985,2.192,0,0,4.593,3.293,0,0,2,21.213,1,0,1.503,10.361,1.553,0,371,6.584,2.151,501,128,0,0,767,60.206,11.123,0,0,23.434,18.967,0,0,12,114.510,6,0,9.260,63.639,8.631,0,2.070,36.743,11.559,2.695,690,0,0,440,34.549,6.383,0,0,13.447,10.884,0,0,7,65.710,3,0,5.314,36.518,4.953,0,1.188,21.084,6.633,1.546,396
73,SULAWESI SELATAN,7311,SULAWESI SELATAN - Bone,245,239,6.498,16.317,26.823,5.426,1.717,51.669,31.534,12.756,4.444,232,157.901,779,1.533,26.100,41.238,9.116,219,1.019,38.898,49.762,12.656,1.114,1.230,1.197,32.600,81.864,126.047,25.500,8.070,242.792,151.552,61.315,21.359,1.117,754.645,4.090,8.048,137.033,216.515,44.408,1.065,4.963,189.478,242.132,61.584,5.422,706,687,18.707,46.976,72.331,14.633,4.631,139.323,86.966,35.185,12.257,641,433.043,2.347,4.619,78.635,124.244,25.483,611,2.848,108.729,138.944,35.339,3.111
73,SULAWESI SELATAN,7312,SULAWESI SELATAN - Soppeng,0,382,939,7.499,9.518,2.315,1.673,5.788,12.153,4.295,627,251,45.442,188,271,5.398,12.191,4.442,1.789,603,9.585,10.268,3.548,1.006,0,2.282,5.602,44.756,50.259,12.265,8.866,30.667,61.569,21.748,3.181,1.274,242.470,1.048,1.506,29.931,67.738,22.889,9.217,3.109,49.390,49.835,17.225,4.886,0,1.310,3.215,25.682,28.841,7.038,5.088,17.598,35.331,12.480,1.826,731,139.138,601,864,17.176,38.870,13.135,5.289,1.784,28.342,28.597,9.884,2.804
73,SULAWESI SELATAN,7313,SULAWESI SELATAN - Wajo,49,301,6.260,11.485,12.724,897,1.027,44.078,25.298,10.837,7.745,2.614,123.317,3.048,4.395,24.514,20.935,5.570,1.584,286,14.964,52.728,17.624,6.087,241,1.474,30.608,56.152,58.269,4.110,4.703,201.857,125.247,53.718,38.393,12.958,587.730,14.834,21.388,119.301,101.880,26.846,7.634,1.376,72.127,257.469,86.055,29.720,138,846,17.564,32.222,33.437,2.358,2.699,115.833,71.871,30.825,22.031,7.436,337.261,8.512,12.273,68.459,58.463,15.405,4.381,790,41.389,147.745,49.382,17.054
73,SULAWESI SELATAN,7314,SULAWESI SELATAN - Sidenreng Rappang,0,306,10.266,24.923,5.035,743,381,3.088,25.766,13.722,2.227,92,86.549,14,66,22.568,21.439,1.706,1.517,521,3.463,31.438,9.801,2.574,0,1.505,50.515,122.412,25.791,3.810,1.954,15.834,139.416,74.048,12.071,500,447.856,92,434,148.021,141.154,9.092,8.082,2.778,18.452,162.822,50.776,13.340,0,863,28.987,70.244,14.800,2.187,1.121,9.086,80.002,42.491,6.927,287,256.996,53,249,84.940,81.000,5.218,4.638,1.594,10.589,93.433,29.137,7.655
73,SULAWESI SELATAN,7315,SULAWESI SELATAN - Pinrang,548,437,668,17.503,20.319,5.835,1.974,1.388,3.593,17.021,16.638,6.356,92.277,302,0,814,23.539,19.013,5.686,13,0,8.400,21.840,14.314,3.526,2.810,4.303,112.661,115.792,33.251,11.247,7.909,22.414,106.187,103.797,39.650,563.547,1.866,1,5.029,145.357,114.380,34.206,80,0,51.641,134.277,88.004,2.023,1.613,2.469,64.649,66.445,19.081,6.454,4.538,12.862,60.934,59.562,22.753,323.384,1.071,1,2.886,83.411,65.636,19.629,46,0,29.633,77.053,50.500
73,SULAWESI SELATAN,7316,SULAWESI SELATAN - Enrekang,0,0,84,1.729,1.312,594,540,222,2.054,408,608,389,7.938,37,11,1.007,1.299,766,182,270,88,2.331,983,449,0,0,396,8.173,5.663,2.563,2.331,957,9.563,1.898,2.832,1.814,36.189,190,59,5.154,6.641,3.259,775,1.149,374,10.125,4.271,1.952,0,0,227,4.690,3.250,1.471,1.338,549,5.488,1.089,1.625,1.041,20.767,109,34,2.958,3.811,1.870,445,659,214,5.810,2.451,1.120
